fs	T	gdot	D_perp_Al	D3D_deshear_Al	K_perp_Al	K3D_deshear_Al	folder	msd_file	dump_file
20	865	0	0.150890978	0.150859408	1	1	AZ91_fs20_T865.0_shearYZ_gdot0.0	msd.production.components.AZ91.fs20.T865.0.gdot0.0.dat	dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
20	865	0.001	0.26535754	0.24791502	1.758604417	1.643351403	AZ91_fs20_T865.0_shearYZ_gdot0.001	msd.production.components.AZ91.fs20.T865.0.gdot0.001.dat	dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
20	865	0.005	0.413905021	0.383871012	2.743073354	2.544561306	AZ91_fs20_T865.0_shearYZ_gdot0.005	msd.production.components.AZ91.fs20.T865.0.gdot0.005.dat	dump.production.Alrich.AZ91.fs20.T865.0.gdot0.005.lammpstrj
20	865	0.01	0.572059654	0.521623227	3.791211791	3.457677814	AZ91_fs20_T865.0_shearYZ_gdot0.01	msd.production.components.AZ91.fs20.T865.0.gdot0.01.dat	dump.production.Alrich.AZ91.fs20.T865.0.gdot0.01.lammpstrj
20	865	0.02	0.570138247	0.572806236	3.778478046	3.796954028	AZ91_fs20_T865.0_shearYZ_gdot0.02	msd.production.components.AZ91.fs20.T865.0.gdot0.02.dat	dump.production.Alrich.AZ91.fs20.T865.0.gdot0.02.lammpstrj
40	852	0	0.048630975	0.04807546	1	1	AZ91_fs40_T852.0_shearYZ_gdot0.0	msd.production.components.AZ91.fs40.T852.0.gdot0.0.dat	dump.production.Alrich.AZ91.fs40.T852.0.gdot0.0.lammpstrj
40	852	0.001	0.126861892	0.128415567	2.608664387	2.671125081	AZ91_fs40_T852.0_shearYZ_gdot0.001	msd.production.components.AZ91.fs40.T852.0.gdot0.001.dat	dump.production.Alrich.AZ91.fs40.T852.0.gdot0.001.lammpstrj
40	852	0.005	0.392805234	0.363861099	8.077264229	7.568541168	AZ91_fs40_T852.0_shearYZ_gdot0.005	msd.production.components.AZ91.fs40.T852.0.gdot0.005.dat	dump.production.Alrich.AZ91.fs40.T852.0.gdot0.005.lammpstrj
40	852	0.01	0.407370323	0.41652954	8.376766526	8.664078066	AZ91_fs40_T852.0_shearYZ_gdot0.01	msd.production.components.AZ91.fs40.T852.0.gdot0.01.dat	dump.production.Alrich.AZ91.fs40.T852.0.gdot0.01.lammpstrj
40	852	0.02	0.306070026	0.531338789	6.293725897	11.05218312	AZ91_fs40_T852.0_shearYZ_gdot0.02	msd.production.components.AZ91.fs40.T852.0.gdot0.02.dat	dump.production.Alrich.AZ91.fs40.T852.0.gdot0.02.lammpstrj
60	833	0	0.025228408	0.024777773	1	1	AZ91_fs60_T833.0_shearYZ_gdot0.0	msd.production.components.AZ91.fs60.T833.0.gdot0.0.dat	dump.production.Alrich.AZ91.fs60.T833.0.gdot0.0.lammpstrj
60	833	0.001	0.059393965	0.067531222	2.354249419	2.725475809	AZ91_fs60_T833.0_shearYZ_gdot0.001	msd.production.components.AZ91.fs60.T833.0.gdot0.001.dat	dump.production.Alrich.AZ91.fs60.T833.0.gdot0.001.lammpstrj
60	833	0.005	0.148288148	0.229069164	5.877824215	9.244945491	AZ91_fs60_T833.0_shearYZ_gdot0.005	msd.production.components.AZ91.fs60.T833.0.gdot0.005.dat	dump.production.Alrich.AZ91.fs60.T833.0.gdot0.005.lammpstrj
60	833	0.01	0.199890584	0.345312765	7.923234158	13.93639211	AZ91_fs60_T833.0_shearYZ_gdot0.01	msd.production.components.AZ91.fs60.T833.0.gdot0.01.dat	dump.production.Alrich.AZ91.fs60.T833.0.gdot0.01.lammpstrj
60	833	0.02	0.230450298	0.560738056	9.134555683	22.63068793	AZ91_fs60_T833.0_shearYZ_gdot0.02	msd.production.components.AZ91.fs60.T833.0.gdot0.02.dat	dump.production.Alrich.AZ91.fs60.T833.0.gdot0.02.lammpstrj
80	813	0	0.012355885	0.01226929	1	1	AZ91_fs80_T813.0_shearYZ_gdot0.0	msd.production.components.AZ91.fs80.T813.0.gdot0.0.dat	dump.production.Alrich.AZ91.fs80.T813.0.gdot0.0.lammpstrj
80	813	0.001	0.035479282	0.036999869	2.871448045	3.015648812	AZ91_fs80_T813.0_shearYZ_gdot0.001	msd.production.components.AZ91.fs80.T813.0.gdot0.001.dat	dump.production.Alrich.AZ91.fs80.T813.0.gdot0.001.lammpstrj
80	813	0.005	0.09677402	0.185343045	7.832220873	15.10625723	AZ91_fs80_T813.0_shearYZ_gdot0.005	msd.production.components.AZ91.fs80.T813.0.gdot0.005.dat	dump.production.Alrich.AZ91.fs80.T813.0.gdot0.005.lammpstrj
80	813	0.01	0.13677701	0.342172243	11.0697866	27.8885131	AZ91_fs80_T813.0_shearYZ_gdot0.01	msd.production.components.AZ91.fs80.T813.0.gdot0.01.dat	dump.production.Alrich.AZ91.fs80.T813.0.gdot0.01.lammpstrj
80	813	0.02	0.240985192	0.439403491	19.50367723	35.81327902	AZ91_fs80_T813.0_shearYZ_gdot0.02	msd.production.components.AZ91.fs80.T813.0.gdot0.02.dat	dump.production.Alrich.AZ91.fs80.T813.0.gdot0.02.lammpstrj
